	matroln	SSI	EpPC1	EpPC2	EpPC3	EpPC4
Gambusia_hurtadoi	-0.301105093	-0.92777	13.01955421	12.12952247	5.929843959	-2.657546386
Gambusia_vittata	-0.30652516	-0.42421	6.676010103	-0.54874005	5.162731847	-3.521698784
Gambusia_atrora	-0.183922838	-0.36927	3.000652989	1.494352823	4.548634154	-6.424314616
Gambusia_holbrooki	-0.441610555	-0.09864	3.468033917	3.460308295	8.911410617	4.084039497
Gambusia_affinis	-0.476424197	-0.51292	5.26056894	9.565065841	8.836121349	6.325398778
Gambusia_geiseri	-0.621757184	-0.36734	7.220668104	6.603182598	8.68093082	1.959576078
Gambusia_hispaniolae	-	-0.27523	6.222564407	-3.607124271	0.709825814	-1.426546105
Gambusia_wrayi	-0.414001439	-0.3236	0.899996482	-3.210042056	-2.395647378	1.03815491
Gambusia_manni	-0.287682072	-0.4046	3.776878778	-2.676385779	0.733380751	3.000718954
Gambusia_hubbsi	-0.15082289	0.32754	3.64032213	-2.596621083	0.860364993	2.738573304
Gambusia_punctata	-	0.26751	3.430401963	-1.779473534	1.470947394	1.604809823
Gambusia_eurystoma	-0.274436846	-0.065	-4.444854347	-0.648178776	4.765875749	-4.11324235
Gambusia_sexradiata	0.553885113	0.1514	3.10519669	-2.576047491	2.430013047	0.338585602
Gambusia_luma	-	0.46734	-1.665082891	-1.018989659	-1.171709414	1.518183976
Heterophallus_milleri	-0.301105093	-0.03669	-3.440069043	-1.137411238	4.6328691	-2.706197127
Belonesox_belizanus	-0.356674944	0.37784	2.467325519	-2.183487255	1.581707117	0.849525089
Pseudoxiphophorus_obliquus	-	-1.15488	-0.214017038	1.892622296	-0.540716191	-3.825694688
Pseudoxiphophorus_tuxtlaensis	-	-0.40683	0.884936335	3.300743959	-1.345616354	-3.454312367
Pseudoxiphophorus_litoperas	-	-0.74393	-2.383655538	2.022183934	-2.69924799	-3.026589678
Pseudoxiphophorus_bimaculata	-0.198450939	-0.73762	1.451830199	-0.194188607	1.085088194	-1.87526655
Pseudoxiphophorus_jonesii	-0.430782916	-1.35805	3.636413285	3.420378486	2.296128522	-3.51367882
Xiphophorus_gordoni	0.19062036	1.33327	11.23916589	5.412918309	8.307439028	-0.040221411
Xiphophorus_xiphidium	-0.15082289	1.08122	8.853354097	1.646472336	6.140132405	-2.304245424
Xiphophorus_variatus	-0.248461359	1.29486	5.65384683	0.752848063	3.15378572	-1.562809364
Xiphophorus_clemenciae	-0.314710745	1.43422	0.62645869	-0.426464343	1.352664933	-3.542725358
Xiphophorus_maculatus	-0.168418652	1.22865	2.108054677	-2.529338865	2.935261823	0.075741773
Xiphophorus_alvarezi	-0.544727175	2.35077	-0.238764207	6.070784937	-1.948784344	-3.370313864
Xiphophorus_hellerii	-0.494296322	3.92529	2.141842328	-0.44703355	1.047874203	-2.528461158
Xiphophorus_malinche	-	1.66227	3.994615068	13.3117639	-2.069684524	-2.970386583
Xiphophorus_birchmanni	-	1.1189	3.976460988	2.784688276	4.248989394	-3.76007567
Xiphophorus_multilineatus	-0.733969175	1.84952	5.240727577	-0.839666955	5.34714537	-3.387760228
Xiphophorus_nigrensis	-0.342490309	1.64938	6.704364449	-1.142151021	4.67536679	-2.141791097
Xiphophorus_pygmaeus	-0.261364764	0.96866	3.454846544	0.666835012	4.70195556	-6.34945636
Carlhubbsia_kidderi	-0.673344553	-0.5809	4.353373494	-1.904482632	2.58925546	-0.244260416
Carlhubbsia_stuarti	-0.139262067	-0.34081	-3.384383807	-3.421135181	0.78513091	-0.186218194
Scolichthys_greenwayi	-0.186329578	-0.55443	-2.427804653	0.78734838	0.243732282	-1.24944664
Priapella_compressa	-0.328504067	0.21564	-0.682170217	-1.642471631	4.301564181	-2.583426692
Priapella_chamulae	-0.342490309	0.26082	-3.755978614	-1.558969004	5.488599076	-0.438058995
Priapella_olmecae	-0.274436846	-0.52351	-1.196014455	-0.342949895	1.021466073	-2.696083424
Priapella_intermedia	-0.510825624	-0.33508	2.493366685	0.038659388	0.507287589	-3.408912292
Poeciliopsis_catemaco	-	-0.99028	0.104566732	4.495169557	-1.999507124	-3.447188129
Poeciliopsis_gracilis	-0.371063681	-0.64283	7.914518143	0.545447078	0.337894897	-2.153099895
Poeciliopsis_turneri	3.723280881	-1.27407	6.023472048	1.787695919	0.32885709	-7.588613223
Poeciliopsis_presidionis	3.068052935	-0.98665	9.756192833	-1.728024232	5.051414581	-4.570750666
Poeciliopsis_turrabarensis	-0.415515444	-0.75426	3.359596403	-3.487659485	-0.033726734	-2.37906423
Poeciliopsis_scarlii	-0.139262067	-1.42303	7.365577237	-2.330433353	-0.613079096	-7.363919048
Poeciliopsis_latidens	-0.15082289	-1.22346	9.876744524	-0.237992553	6.000487443	-6.238935967
Poeciliopsis_fasciata	-0.210721031	-0.74377	7.09238004	-5.607743206	-0.98528573	-5.766450086
Poeciliopsis_baenschi	0.457424847	-1.52465	7.203509512	2.379777699	0.007281956	-7.120100053
Poeciliopsis_occidentalis	0.113328685	-0.95106	12.59801672	5.501320262	9.325102149	-6.007143282
Poeciliopsis_prolifica	1.686398954	-1.53826	11.73839577	-1.603215921	6.880455365	-5.569044123
Poeciliopsis_infans	-0.15082289	-0.94504	9.652347315	12.3241032	-0.846210754	-1.279288402
Poeciliopsis_monacha	-0.494296322	-0.91582	11.2252927	0.867307608	9.522713761	-8.523921576
Poeciliopsis_elongata	4.232656178	-0.57536	0.672166945	-3.41713771	-3.513347398	-1.16077927
Poeciliopsis_retropinna	4.762173935	-0.42805	-4.060216183	-1.523809133	-0.124887806	-2.541748689
Poeciliopsis_paucimaculata	2.054123734	-0.6356	-1.743280431	4.056175373	-2.53945094	-1.03786859
Neoheterandria_tridentiger	-0.46203546	-1.415	-0.364916486	-2.913555439	-4.042469287	-0.717662471
Brachyrhaphis_terrabensis	-0.507497834	1.31575	-2.724684851	3.30186857	-2.626519015	-0.621314281
Brachyrhaphis_roseni	-0.510825624	0.64426	-4.379165539	-1.515639715	-0.198334774	-3.139403567
Brachyrhaphis_rhabdophora	-0.265268478	0.17684	-2.765624487	3.367552128	-3.58286147	-2.450965185
Brachyrhaphis_holdridgei	-0.415515444	0.73495	-3.248528474	1.735497049	-3.207874288	-0.929440322
Neoheterandria_umbratilis	-0.356674944	0.58577	-1.761216107	-0.492705135	-1.507268748	0.016256137
Phallichthys_amates	-0.616186139	-0.59197	-1.956475009	-1.147244131	-0.636581267	-0.03513108
Phallichthys_tico	-0.673344553	-1.35367	-7.821420706	0.867136282	-0.003837776	0.67630721
Brachyrhaphis_cascajalensis	-0.083381609	0.69154	-2.097247998	-3.200135087	-3.30220301	0.364410153
Brachyrhaphis_parismina	-0.776528789	0.51054	-9.389041766	-2.418760813	2.29445524	1.33171551
Priapichthys_annectens	-0.562118918	-1.14176	-4.269416048	0.282068794	-1.700837996	0.0071732
Brachyrhaphis_episcopi	-0.186329578	0.08	-3.953662564	-1.428517988	-4.810548746	-1.449328218
Brachyrhaphis_punctifer	-	-0.80439	-7.741444708	-0.588934625	-2.414956797	-0.947333623
Alfaro_cultratus	-0.544727175	0.3442	-8.269686294	-2.355428868	1.749772961	1.109953853
Alfaro_hubberi	-0.446287103	0.37707	1.704468921	2.351426562	-0.807516285	-2.213623925
Heterandria_formosa	3.555348061	-1.87926	3.84172502	2.460854257	8.13270686	3.097071278
Priapichthys_darienensis	-0.478035801	-0.59174	-0.864369565	-2.979754703	-3.869729904	-2.263404066
Girardinus_metallicus	-0.328504067	-0.59361	3.290256339	-1.57190915	1.328304003	0.962275677
Mollienesia_sulphuraria	-0.371063681	-0.13016	-4.873214302	-0.09375387	4.275455256	-5.434175504
Mollienesia_thermalis	-	-0.18384	-6.646988637	1.149663176	4.419703573	-5.67883441
Mollienesia_gracilis	-0.236988958	-0.23727	2.359650351	-2.313208605	1.541607	4.452344425
Mollienesia_mexicana	-0.469236216	0.78784	4.301336509	-0.199287971	1.747577971	-0.916531769
Mollienesia_sphenops	-0.382892686	0.5277	6.814310871	0.250272635	-0.067470019	-2.959498673
Mollienesia_gillii	-0.228605342	0.58072	1.996960831	-2.178756256	-1.739109839	-1.018871902
Mollienesia_butleri	0.832909123	0.90733	8.459766224	-1.39114954	1.855538338	-5.548814884
Mollienesia_orri	-0.256184423	0.74551	-0.650370468	-2.936566043	-1.177508124	0.751748097
Mollienesia_hondurensis	-	0.62769	0.408305491	3.164321609	-0.364754843	-3.202451821
Mollienesia_catemaconis	-	0.53677	1.261932314	1.449926048	0.306878395	-0.081644971
Mollienesia_latipinna	0.022251567	0.80825	3.766873421	1.923955346	7.435274731	4.914310677
Mollienesia_velifera	-0.391562203	1.24672	6.183733158	-2.800732307	0.767684736	2.545900121
Mollienesia_latipunctata	-	1.25871	7.618426378	-2.116943345	5.536439988	-2.836725639
Mollienesia_petenensis	0.144543391	1.80903	3.580023839	-2.763472565	3.075109536	0.373178482
Allopoecilia_caucana	-0.264232709	0.35061	-0.469927704	-0.405787682	-3.550715612	-1.941331601
Limia_tridens	-0.272965363	0.12619	2.367666597	0.314973226	-1.578907929	-3.242789363
Limia_perugiae	-0.359734401	-0.0572	6.367171219	-3.927313826	1.15243638	-1.416585804
Limia_sulphurphila	-	-0.10706	5.024069867	-0.615752419	-0.940265592	-6.715157221
Limia_nigrofasciata	-0.200141994	0.95442	3.825371836	-2.345618528	0.531610075	0.603526468
Limia_caymanensis	-0.447211175	-0.42337	2.703754564	-4.049811792	-1.04417321	1.863335403
Limia_vittata	-0.021040716	1.01818	3.457427754	-1.646337401	1.213174467	0.81645146
Limia_zonata	-0.176303586	0.11616	0.538806325	-0.690058901	0.703405451	0.423460752
Limia_melanogaster	-0.40009186	0.93427	2.587072492	-2.829605671	-3.1479561	0.310983193
Limia_heterandria	-0.345308079	-0.88617	1.97595354	-2.428966954	-3.077185621	0.618257781
Curtipenis_elegans	-0.26921	-0.063	1.012357026	5.366802582	-1.507768161	1.517664142
Curtipenis_hispanolana	-0.26921	-0.67989	3.99168345	2.035197932	-0.966352344	-1.173597968
Pamphorichthys_hollandi	3.245490508	-1.77225	8.193657447	2.77418569	-0.868543305	-1.522507186
Poecilia_vivipara	-0.392259223	0.14102	1.80463582	-0.932617247	-1.903310484	3.420344611
Micropoecilia_picta	-0.242592452	-0.22017	0.076543526	-3.368567942	-2.197893806	1.559718876
Micropoecilia_parae	1.908921497	-0.20441	-0.60090939	-3.295754505	-1.522642896	0.835753399
Micropoecilia_branneri	4.459096067	1.06551	-1.025871541	-4.345703907	-1.657382156	-0.340406483
Acanthophacelus_reticulata	-0.412887101	-0.21339	3.052559216	-3.310773039	-0.640128397	-0.816999936
Acanthophacelus_wingei	-0.17766414	0.14451	3.145164787	-1.413084073	-4.729331342	-2.789150923
Cnesterodon_decemmaculatus	-0.217360944	-1.16452	2.39555526	7.657104276	2.839282883	7.206727223
Phalloptychus_januarius	3.124565145	-2.53184	2.09721891	1.1899265	-0.970187436	3.771977317
Phalloceros_caudimaculatus	0.760805829	-0.83009	1.154743821	4.792034402	1.332940814	5.254670695
